timestamp,mse,threshold,status
1774379715.3776417,7378.73331,2.520791,ANOMALIE
1774379715.4712243,8999.944891,2.520791,ANOMALIE
1774379715.5612965,8960.593276,2.520791,ANOMALIE
1774379715.6520095,8833.560413,2.520791,ANOMALIE
1774379715.7313833,8740.435141,2.520791,ANOMALIE
1774379715.85223,9472.323293,2.520791,ANOMALIE
1774379715.9538386,7451.57073,2.520791,ANOMALIE
1774379716.0669322,8764.431421,2.520791,ANOMALIE
1774379716.1477628,10020.803867,2.520791,ANOMALIE
1774379716.2239976,14356.322777,2.520791,ANOMALIE
1774379716.3360722,8909.506786,2.520791,ANOMALIE
1774379716.435614,7499.974469,2.520791,ANOMALIE
1774379716.5366588,8264.391835,2.520791,ANOMALIE
1774379716.6126955,6014.809314,2.520791,ANOMALIE
1774379716.7062454,6561.754089,2.520791,ANOMALIE
1774379716.8317733,8147.990871,2.520791,ANOMALIE
1774379716.913567,7902.51527,2.520791,ANOMALIE
1774379717.0340552,7466.588539,2.520791,ANOMALIE
1774379717.1125774,7186.585567,2.520791,ANOMALIE
1774379717.221673,6279.574059,2.520791,ANOMALIE
1774379717.2941175,6101.435324,2.520791,ANOMALIE
1774379717.3749747,7378.732288,2.520791,ANOMALIE
1774379717.4600945,8999.944777,2.520791,ANOMALIE
1774379717.5537403,8960.593344,2.520791,ANOMALIE
1774379717.66279,8833.560281,2.520791,ANOMALIE
1774379717.7447834,8740.43491,2.520791,ANOMALIE
1774379717.8495295,8752.591025,2.520791,ANOMALIE
1774379717.9396179,9507.077421,2.520791,ANOMALIE
1774379718.038206,7597.932953,2.520791,ANOMALIE
1774379718.1429095,7394.845186,2.520791,ANOMALIE
1774379718.2124817,8630.535568,2.520791,ANOMALIE
1774379718.2939274,7758.581645,2.520791,ANOMALIE
1774379718.362886,7188.003446,2.520791,ANOMALIE
1774379718.4452324,7583.294402,2.520791,ANOMALIE
1774379718.520356,7595.13488,2.520791,ANOMALIE
1774379718.5861332,7466.006688,2.520791,ANOMALIE
1774379718.6755443,7736.528244,2.520791,ANOMALIE
1774379718.7800667,7453.2794,2.520791,ANOMALIE
1774379718.8712275,8067.743591,2.520791,ANOMALIE
1774379718.949501,7491.31316,2.520791,ANOMALIE
1774379719.0215993,7396.951358,2.520791,ANOMALIE
1774379719.14448,7927.444454,2.520791,ANOMALIE
1774379719.2473125,6318.925452,2.520791,ANOMALIE
1774379719.3520021,5039.702511,2.520791,ANOMALIE
1774379719.4862864,3794.043771,2.520791,ANOMALIE
1774379719.5838346,2461.955936,2.520791,ANOMALIE
1774379719.6575503,2550.956469,2.520791,ANOMALIE
1774379719.741753,1239.105062,2.520791,ANOMALIE
1774379719.8272932,1237.009319,2.520791,ANOMALIE
1774379719.8943765,2358.741692,2.520791,ANOMALIE
1774379719.9699285,1278.116462,2.520791,ANOMALIE
1774379720.066727,2499.541982,2.520791,ANOMALIE
1774379720.1613657,3751.328666,2.520791,ANOMALIE
1774379720.256628,4793.541582,2.520791,ANOMALIE
1774379720.368624,3969.014262,2.520791,ANOMALIE
1774379720.4845903,3822.190598,2.520791,ANOMALIE
1774379720.584496,4099.688228,2.520791,ANOMALIE
1774379720.6776268,4900.006848,2.520791,ANOMALIE
1774379720.7637777,6511.313167,2.520791,ANOMALIE
1774379720.8391926,6759.520364,2.520791,ANOMALIE
1774379720.9377804,6873.453185,2.520791,ANOMALIE
1774379721.0116184,5100.826364,2.520791,ANOMALIE
1774379721.0802774,3838.798128,2.520791,ANOMALIE
1774379721.157959,4930.478485,2.520791,ANOMALIE
1774379721.227404,6444.88006,2.520791,ANOMALIE
1774379721.2922182,7662.261227,2.520791,ANOMALIE
1774379721.3583708,8415.423628,2.520791,ANOMALIE
1774379721.4225402,7485.566572,2.520791,ANOMALIE
1774379721.4820933,7502.570845,2.520791,ANOMALIE
1774379721.5590658,7885.01199,2.520791,ANOMALIE
1774379721.6446998,7444.077912,2.520791,ANOMALIE
1774379721.7305706,8765.565125,2.520791,ANOMALIE
